"saat","tarix1","hefte","kwh"
"10AM",2014-07-17,"четверг","0.883kwh"
"3AM",2014-05-26,"понедельник","40.19kwh"
"3AM",2014-05-22,"четверг","0.146kwh"
"4PM",2014-08-20,"среда","0.442kwh"
"11AM",2014-08-12,"вторник","0.714kwh"
"1AM",2014-06-04,"среда","0.313kwh"
"6AM",2014-10-17,"пятница","0.727kwh"
"6PM",2014-11-23,"воскресенье","0.948kwh"
"2PM",2014-04-28,"понедельник","0.114kwh"
"12AM",2014-04-19,"суббота","0.204kwh"
"9AM",2014-07-17,"четверг","0.684kwh"
"10AM",2014-07-10,"четверг","0.797kwh"
"8AM",2014-08-24,"воскресенье","1.794kwh"
"10PM",2014-10-10,"пятница","0.349kwh"
"12AM",2014-11-25,"вторник","0.162kwh"
"5AM",2014-09-21,"воскресенье","0.185kwh"
"8PM",2014-12-06,"суббота","2.218kwh"
"9AM",2014-10-14,"вторник","0.207kwh"
"1PM",2014-12-30,"вторник","0.392kwh"
"5AM",2014-05-31,"суббота","0.216kwh"
"11AM",2014-09-24,"среда","40.28kwh"
"2PM",2014-12-15,"понедельник","0.409kwh"
"6PM",2014-10-31,"пятница","0.966kwh"
"9PM",2014-02-16,"воскресенье","0.742kwh"
"11AM",2014-05-27,"вторник","0.384kwh"
"4AM",2014-01-20,"понедельник","0.468kwh"
"8AM",2014-07-27,"воскресенье","42.87kwh"
"4AM",2014-09-10,"среда","0.157kwh"
"4AM",2014-06-23,"понедельник","0.328kwh"
"6AM",2014-08-07,"четверг","1.339kwh"
"7AM",2014-09-05,"пятница","0.636kwh"
"11PM",2014-11-19,"среда","0.191kwh"
"1PM",2014-12-29,"понедельник","0.497kwh"
"2PM",2014-02-14,"пятница","0.571kwh"
"8AM",2014-11-10,"понедельник","0.144kwh"
"2PM",2014-03-29,"суббота","0.525kwh"
"10AM",2014-02-16,"воскресенье","0.662kwh"
"5PM",2014-04-17,"четверг","0.468kwh"
"3PM",2014-09-08,"понедельник","40.23kwh"
"12AM",2014-06-11,"среда","0.513kwh"
"1AM",2014-04-30,"среда","0.068kwh"
"4PM",2014-12-23,"вторник","0.361kwh"
"8PM",2014-10-09,"четверг","1.142kwh"
"3AM",2014-12-11,"четверг","0.229kwh"
"8AM",2014-12-12,"пятница","0.431kwh"
"3PM",2014-07-21,"понедельник","0.816kwh"
"12AM",2014-03-18,"вторник","0.233kwh"
"1AM",2014-05-16,"пятница","40.17kwh"
"12PM",2014-03-13,"четверг","40.48kwh"
"10AM",2014-07-25,"пятница","1.085kwh"
"7PM",2014-05-24,"суббота","1.714kwh"
"11PM",2014-06-19,"четверг","0.882kwh"
"5PM",2014-02-14,"пятница","1.404kwh"
"6AM",2014-03-17,"понедельник","0.864kwh"
"12PM",2014-10-17,"пятница","0.333kwh"
"6PM",2014-04-04,"пятница","0.454kwh"
"9AM",2014-10-23,"четверг","0.162kwh"
"6AM",2014-10-12,"воскресенье","0.432kwh"
"5AM",2014-11-12,"среда","0.589kwh"
"2AM",2014-05-12,"понедельник","40.13kwh"
"3PM",2014-04-26,"суббота","0.286kwh"
"3AM",2014-08-12,"вторник","0.226kwh"
"6PM",2014-03-25,"вторник","1.109kwh"
"11PM",2014-07-15,"вторник","40.96kwh"
"2PM",2014-05-22,"четверг","0.349kwh"
"4AM",2014-01-13,"понедельник","40.34kwh"
"9AM",2014-04-01,"вторник","0.078kwh"
"7AM",2014-01-26,"воскресенье","1.968kwh"
"10AM",2014-09-13,"суббота","0.399kwh"
"2PM",2014-02-16,"воскресенье","1.037kwh"
"5AM",2014-07-31,"четверг","42.35kwh"
"5PM",2014-11-16,"воскресенье","0.409kwh"
"8AM",2014-05-17,"суббота","1.144kwh"
"7PM",2014-10-21,"вторник","1.015kwh"
"5PM",2014-11-12,"среда","0.673kwh"
"6AM",2014-07-28,"понедельник","2.765kwh"
"7AM",2014-06-15,"воскресенье","2.117kwh"
"8PM",2014-10-13,"понедельник","0.874kwh"
"11PM",2014-10-25,"суббота","0.588kwh"
"12PM",2014-08-13,"среда","0.546kwh"
"10PM",2014-12-13,"суббота","0.444kwh"
"6PM",2014-11-21,"пятница","0.674kwh"
"11PM",2014-08-16,"суббота","1.008kwh"
"6AM",2014-05-09,"пятница","1.123kwh"
"6PM",2014-06-27,"пятница","42.47kwh"
"8PM",2014-09-02,"вторник","1.176kwh"
"7AM",2014-03-18,"вторник","0.742kwh"
"7AM",2014-12-25,"четверг","0.851kwh"
"10PM",2014-07-02,"среда","1.116kwh"
"3PM",2014-11-21,"пятница","0.164kwh"
"4AM",2014-06-26,"четверг","0.418kwh"
"12AM",2014-11-14,"пятница","0.146kwh"
"3AM",2014-08-06,"среда","0.214kwh"
"11PM",2014-09-25,"четверг","0.294kwh"
"2PM",2014-10-18,"суббота","0.509kwh"
"4AM",2014-12-15,"понедельник","40.20kwh"
"12AM",2014-07-28,"понедельник","0.626kwh"
"7PM",2014-04-23,"среда","0.454kwh"
"3PM",2014-05-16,"пятница","0.349kwh"
"9PM",2014-08-20,"среда","40.67kwh"
"5PM",2014-12-05,"пятница","1.473kwh"
"2AM",2014-05-13,"вторник","0.146kwh"
"4AM",2014-07-31,"четверг","0.456kwh"
"8AM",2014-11-24,"понедельник","40.20kwh"
"9PM",2014-12-28,"воскресенье","0.719kwh"
"9AM",2014-06-28,"суббота","1.685kwh"
"8AM",2014-12-13,"суббота","1.544kwh"
"9AM",2014-01-01,"среда","40.51kwh"
"5AM",2014-04-08,"вторник","0.389kwh"
"3AM",2014-09-05,"пятница","0.125kwh"
"12AM",2014-09-20,"суббота","0.538kwh"
"12PM",2014-03-31,"понедельник","0.476kwh"
"8PM",2014-10-17,"пятница","0.864kwh"
"5AM",2014-01-21,"вторник","2.508kwh"
"7AM",2014-07-25,"пятница","1.987kwh"
"4PM",2014-10-19,"воскресенье","0.643kwh"
"3AM",2014-04-21,"понедельник","0.061kwh"
"5AM",2014-10-28,"вторник","40.64kwh"
"2PM",2014-03-23,"воскресенье","0.768kwh"
"5AM",2014-01-28,"вторник","41.98kwh"
"1AM",2014-09-02,"вторник","0.113kwh"
"3PM",2014-06-15,"воскресенье","1.912kwh"
"3PM",2014-03-28,"пятница","0.259kwh"
"4PM",2014-09-12,"пятница","0.255kwh"
"5PM",2014-10-26,"воскресенье","0.486kwh"
"5AM",2014-06-19,"четверг","41.98kwh"
"1PM",2014-12-27,"суббота","0.601kwh"
"4PM",2014-05-27,"вторник","40.31kwh"
"3AM",2014-06-17,"вторник","40.31kwh"
"1AM",2014-07-15,"вторник","0.475kwh"
"12PM",2014-10-25,"суббота","0.378kwh"
"4AM",2014-06-14,"суббота","0.508kwh"
"10PM",2014-10-09,"четверг","0.267kwh"
"1PM",2014-05-23,"пятница","0.358kwh"
"3PM",2014-06-29,"воскресенье","1.782kwh"
"7AM",2014-12-22,"понедельник","41.04kwh"
"12AM",2014-07-22,"вторник","0.842kwh"
"7AM",2014-09-26,"пятница","0.624kwh"
"5PM",2014-10-20,"понедельник","0.663kwh"
"10PM",2014-05-22,"четверг","0.468kwh"
"5PM",2014-12-11,"четверг","1.487kwh"
"5AM",2014-01-31,"пятница","1.848kwh"
"4AM",2014-07-19,"суббота","0.828kwh"
"10AM",2014-02-17,"понедельник","0.475kwh"
"6AM",2014-02-06,"четверг","41.67kwh"
"7PM",2014-07-18,"пятница","3.672kwh"
"1AM",2014-06-06,"пятница","0.306kwh"
"3PM",2014-01-18,"суббота","1.638kwh"
"4AM",2014-10-26,"воскресенье","0.167kwh"
"4PM",2014-10-26,"воскресенье","0.594kwh"
"6AM",2014-03-18,"вторник","1.142kwh"
"12PM",2014-07-02,"среда","41.32kwh"
"9AM",2014-08-19,"вторник","0.295kwh"
"7PM",2014-05-06,"вторник","1.339kwh"
"10AM",2014-06-27,"пятница","0.778kwh"
"5AM",2014-07-28,"понедельник","2.402kwh"
"12PM",2014-10-19,"воскресенье","0.295kwh"
"7PM",2014-10-13,"понедельник","1.069kwh"
"6AM",2014-09-10,"среда","0.941kwh"
"11AM",2014-01-23,"четверг","41.20kwh"
"2AM",2014-10-20,"понедельник","40.13kwh"
"3PM",2014-08-28,"четверг","0.566kwh"
"6PM",2014-02-26,"среда","1.344kwh"
"12PM",2014-09-01,"понедельник","0.294kwh"
"12AM",2014-08-10,"воскресенье","0.768kwh"
"12PM",2014-09-30,"вторник","0.322kwh"
"1PM",2014-09-15,"понедельник","40.23kwh"
"10AM",2014-10-30,"четверг","0.281kwh"
"5AM",2014-08-24,"воскресенье","0.349kwh"
"6PM",2014-06-14,"суббота","3.143kwh"
"8PM",2014-09-11,"четверг","1.333kwh"
"6AM",2014-05-21,"среда","0.826kwh"
"3PM",2014-09-16,"вторник","0.333kwh"
"10AM",2014-05-25,"воскресенье","0.437kwh"
"2PM",2014-03-12,"среда","40.32kwh"
"2PM",2014-04-07,"понедельник","0.142kwh"
"11PM",2014-01-10,"пятница","41.62kwh"
"12PM",2014-09-22,"понедельник","40.35kwh"
"7PM",2014-03-05,"среда","1.714kwh"
"9PM",2014-01-15,"среда","1.368kwh"
"10AM",2014-09-22,"понедельник","0.288kwh"
"8AM",2014-10-23,"четверг","0.283kwh"
"9PM",2014-01-31,"пятница","40.76kwh"
"9AM",2014-11-21,"пятница","0.112kwh"
"1AM",2014-12-23,"вторник","0.242kwh"
"2PM",2014-11-17,"понедельник","0.184kwh"
"12AM",2014-05-19,"понедельник","0.288kwh"
"7PM",2014-10-15,"среда","1.134kwh"
"11PM",2014-10-17,"пятница","0.552kwh"
"10AM",2014-03-15,"суббота","40.49kwh"
"1PM",2014-07-21,"понедельник","0.806kwh"
"6AM",2014-04-21,"понедельник","0.313kwh"
"10PM",2014-08-28,"четверг","0.678kwh"
"8AM",2014-06-24,"вторник","0.806kwh"
"12AM",2014-04-15,"вторник","40.09kwh"
"4AM",2014-05-24,"суббота","0.235kwh"
"11AM",2014-08-15,"пятница","0.672kwh"
"2PM",2014-11-08,"суббота","0.306kwh"
"6AM",2014-05-28,"среда","1.008kwh"
"5AM",2014-08-26,"вторник","1.214kwh"
"4AM",2014-01-15,"среда","0.444kwh"
"5PM",2014-06-17,"вторник","1.966kwh"
"1PM",2014-11-17,"понедельник","0.164kwh"
"6PM",2014-10-27,"понедельник","0.966kwh"
"8PM",2014-09-22,"понедельник","0.963kwh"
"8AM",2014-06-17,"вторник","0.713kwh"
"9AM",2014-09-13,"суббота","40.68kwh"
"7PM",2014-08-19,"вторник","2.506kwh"
"9PM",2014-04-02,"среда","0.178kwh"
"1AM",2014-08-12,"вторник","0.223kwh"
"4AM",2014-10-30,"четверг","0.136kwh"
"10AM",2014-11-12,"среда","0.158kwh"
"1AM",2014-10-28,"вторник","0.142kwh"
"9PM",2014-10-19,"воскресенье","0.331kwh"
"9AM",2014-10-24,"пятница","0.198kwh"
"11AM",2014-08-26,"вторник","0.534kwh"
"9AM",2014-07-21,"понедельник","0.706kwh"
"7PM",2014-09-10,"среда","1.424kwh"
"5PM",2014-04-26,"суббота","0.275kwh"
"8AM",2014-07-06,"воскресенье","43.65kwh"
"3AM",2014-12-09,"вторник","0.238kwh"
"7AM",2014-10-25,"суббота","0.821kwh"
"8PM",2014-04-21,"понедельник","0.475kwh"
"4PM",2014-08-25,"понедельник","40.47kwh"
"8PM",2014-10-10,"пятница","1.075kwh"
"4PM",2014-12-06,"суббота","1.109kwh"
"11PM",2014-02-19,"среда","0.588kwh"
"1PM",2014-09-19,"пятница","0.244kwh"
"11AM",2014-04-12,"суббота","0.148kwh"
"1AM",2014-04-29,"вторник","0.071kwh"
"1AM",2014-08-21,"четверг","0.264kwh"
"3AM",2014-08-27,"среда","0.252kwh"
"12PM",2014-07-18,"пятница","1.068kwh"
"8AM",2014-11-02,"воскресенье","0.597kwh"
"1PM",2014-01-22,"среда","0.768kwh"
"8PM",2014-04-26,"суббота","0.502kwh"
"4PM",2014-01-21,"вторник","0.696kwh"
"10AM",2014-04-11,"пятница","0.108kwh"
"1PM",2014-07-12,"суббота","1.325kwh"
"8PM",2014-12-26,"пятница","1.654kwh"
"6PM",2014-09-22,"понедельник","0.813kwh"
"3PM",2014-09-06,"суббота","40.58kwh"
"2AM",2014-01-23,"четверг","0.332kwh"
"12PM",2014-06-04,"среда","0.882kwh"
"12PM",2014-01-22,"среда","40.85kwh"
"10PM",2014-09-14,"воскресенье","0.305kwh"
"5PM",2014-02-25,"вторник","1.607kwh"
"9AM",2014-03-26,"среда","0.197kwh"
"9AM",2014-06-30,"понедельник","0.551kwh"
"10PM",2014-04-12,"суббота","0.119kwh"
"10AM",2014-04-27,"воскресенье","0.205kwh"
"7PM",2014-07-10,"четверг","4.363kwh"
"3PM",2014-11-13,"четверг","0.153kwh"
"10PM",2014-06-27,"пятница","1.474kwh"
"10PM",2014-06-17,"вторник","0.927kwh"
"6AM",2014-03-11,"вторник","1.046kwh"
"12PM",2014-01-12,"воскресенье","1.056kwh"
"10AM",2014-09-16,"вторник","0.238kwh"
"1AM",2014-11-16,"воскресенье","0.147kwh"
"1AM",2014-11-13,"четверг","0.092kwh"
"2AM",2014-04-25,"пятница","0.049kwh"
"2PM",2014-05-30,"пятница","0.288kwh"
"1AM",2014-12-25,"четверг","0.233kwh"
"9PM",2014-08-31,"воскресенье","0.799kwh"
"8AM",2014-07-28,"понедельник","1.027kwh"
"9PM",2014-09-17,"среда","0.424kwh"
"11PM",2014-08-17,"воскресенье","0.552kwh"
"9PM",2014-10-15,"среда","0.338kwh"
"4PM",2014-02-01,"суббота","1.037kwh"
"6AM",2014-11-27,"четверг","40.61kwh"
"8AM",2014-04-18,"пятница","0.116kwh"
"4PM",2014-09-17,"среда","0.249kwh"
"4PM",2014-09-28,"воскресенье","0.523kwh"
"3AM",2014-03-12,"среда","0.173kwh"
"5AM",2014-07-12,"суббота","0.749kwh"
"8PM",2014-03-11,"вторник","41.05kwh"
"10AM",2014-12-26,"пятница","40.37kwh"
"4AM",2014-01-05,"воскресенье","0.522kwh"
"11PM",2014-11-13,"четверг","0.234kwh"
"11AM",2014-10-18,"суббота","40.31kwh"
"8AM",2014-10-19,"воскресенье","0.811kwh"
"8AM",2014-11-22,"суббота","0.614kwh"
"10AM",2014-12-23,"вторник","0.374kwh"
"10PM",2014-04-24,"четверг","0.168kwh"
"4PM",2014-07-13,"воскресенье","42.03kwh"
"12AM",2014-04-07,"понедельник","0.073kwh"
"5PM",2014-03-16,"воскресенье","0.727kwh"
"1AM",2014-09-20,"суббота","0.223kwh"
"3PM",2014-02-11,"вторник","0.437kwh"
"1AM",2014-04-21,"понедельник","40.05kwh"
"9AM",2014-11-13,"четверг","0.112kwh"
"7PM",2014-12-09,"вторник","42.00kwh"
"6PM",2014-08-31,"воскресенье","1.793kwh"
"8AM",2014-01-28,"вторник","0.712kwh"
"1PM",2014-11-27,"четверг","0.155kwh"
"11PM",2014-12-09,"вторник","0.451kwh"
"9PM",2014-03-25,"вторник","0.557kwh"
"3AM",2014-09-11,"четверг","0.134kwh"
"8PM",2014-02-18,"вторник","1.901kwh"
"2PM",2014-02-21,"пятница","0.514kwh"
"11AM",2014-12-22,"понедельник","0.567kwh"
"4PM",2014-06-14,"суббота","1.814kwh"
"6PM",2014-01-11,"суббота","4.032kwh"
"12AM",2014-12-30,"вторник","0.323kwh"
"5PM",2014-07-15,"вторник","2.496kwh"
"4AM",2014-07-18,"пятница","0.557kwh"
"7AM",2014-05-10,"суббота","0.845kwh"
"2PM",2014-09-22,"понедельник","0.308kwh"
"6PM",2014-11-18,"вторник","40.58kwh"
"6AM",2014-12-01,"понедельник","1.056kwh"
"8AM",2014-09-29,"понедельник","0.308kwh"
"3AM",2014-10-26,"воскресенье","0.184kwh"
"5AM",2014-07-11,"пятница","2.983kwh"
"12PM",2014-10-06,"понедельник","0.324kwh"
"6PM",2014-12-18,"четверг","41.34kwh"
"11PM",2014-10-18,"суббота","0.606kwh"
"8AM",2014-08-31,"воскресенье","1.872kwh"
"3PM",2014-01-24,"пятница","0.904kwh"
"2AM",2014-12-27,"суббота","0.376kwh"
"4AM",2014-12-27,"суббота","0.274kwh"
"5PM",2014-12-12,"пятница","1.687kwh"
"11PM",2014-02-21,"пятница","1.092kwh"
"8PM",2014-05-10,"суббота","1.368kwh"
"4PM",2014-03-15,"суббота","40.67kwh"
"4PM",2014-07-23,"среда","1.027kwh"
"6PM",2014-04-13,"воскресенье","0.621kwh"
"8AM",2014-10-21,"вторник","0.247kwh"
"8AM",2014-12-24,"среда","0.374kwh"
"3PM",2014-07-18,"пятница","1.094kwh"
"9PM",2014-05-12,"понедельник","0.552kwh"
"8PM",2014-08-18,"понедельник","1.824kwh"
"4AM",2014-03-28,"пятница","40.19kwh"
"11PM",2014-12-02,"вторник","0.484kwh"
"7AM",2014-08-15,"пятница","1.004kwh"
"2AM",2014-07-28,"понедельник","0.566kwh"
"4AM",2014-10-05,"воскресенье","0.158kwh"
"2PM",2014-03-16,"воскресенье","0.749kwh"
"10PM",2014-12-15,"понедельник","0.556kwh"
"7PM",2014-05-16,"пятница","1.454kwh"
"7PM",2014-06-17,"вторник","3.143kwh"
"7AM",2014-06-11,"среда","1.863kwh"
"3AM",2014-03-16,"воскресенье","0.209kwh"
"7AM",2014-04-03,"четверг","0.275kwh"
"1PM",2014-06-28,"суббота","0.875kwh"
"1PM",2014-10-20,"понедельник","0.254kwh"
"7PM",2014-08-26,"вторник","2.182kwh"
"8AM",2014-10-29,"среда","0.269kwh"
"5PM",2014-05-23,"пятница","1.009kwh"
"2PM",2014-04-05,"суббота","0.283kwh"
"5AM",2014-11-28,"пятница","40.48kwh"
"9AM",2014-06-11,"среда","0.567kwh"
"5PM",2014-11-03,"понедельник","0.491kwh"
"5PM",2014-05-19,"понедельник","1.102kwh"
"9AM",2014-07-08,"вторник","0.864kwh"
"3PM",2014-10-23,"четверг","0.202kwh"
"4PM",2014-05-03,"суббота","40.85kwh"
"5AM",2014-07-23,"среда","2.429kwh"
"5PM",2014-07-20,"воскресенье","2.333kwh"
"11PM",2014-04-18,"пятница","0.276kwh"
"9PM",2014-09-12,"пятница","0.328kwh"
"11PM",2014-06-29,"воскресенье","0.738kwh"
"2AM",2014-08-14,"четверг","0.259kwh"
"7AM",2014-02-22,"суббота","1.411kwh"
"8PM",2014-01-27,"понедельник","2.976kwh"
"11AM",2014-10-28,"вторник","0.297kwh"
"12PM",2014-05-10,"суббота","0.533kwh"
"4AM",2014-01-10,"пятница","0.356kwh"
"4PM",2014-08-22,"пятница","0.418kwh"
"8PM",2014-06-30,"понедельник","2.765kwh"
"11PM",2014-04-22,"вторник","0.153kwh"
"11AM",2014-04-25,"пятница","0.123kwh"
"12PM",2014-11-16,"воскресенье","0.302kwh"
"12AM",2014-11-16,"воскресенье","40.31kwh"
"12AM",2014-05-23,"пятница","0.278kwh"
"4PM",2014-05-31,"суббота","0.634kwh"
"10PM",2014-09-05,"пятница","0.539kwh"
"2AM",2014-10-26,"воскресенье","0.146kwh"
"11AM",2014-12-31,"среда","0.567kwh"
"7AM",2014-01-16,"четверг","42.07kwh"
"2PM",2014-05-08,"четверг","0.288kwh"
"11PM",2014-11-17,"понедельник","0.225kwh"
"4PM",2014-06-12,"четверг","0.806kwh"
"9AM",2014-09-11,"четверг","0.181kwh"
"5AM",2014-04-21,"понедельник","0.264kwh"
"5PM",2014-09-25,"четверг","0.774kwh"
"10AM",2014-08-06,"среда","0.562kwh"
"2AM",2014-09-16,"вторник","0.113kwh"
"6AM",2014-07-29,"вторник","3.226kwh"
"6AM",2014-05-29,"четверг","0.778kwh"
"5PM",2014-09-10,"среда","0.928kwh"
"2AM",2014-03-29,"суббота","0.197kwh"
"6PM",2014-06-24,"вторник","42.47kwh"
"9PM",2014-01-24,"пятница","40.80kwh"
"2PM",2014-08-04,"понедельник","0.538kwh"
"8AM",2014-08-23,"суббота","1.576kwh"
"5PM",2014-07-29,"вторник","2.964kwh"
"4PM",2014-02-08,"суббота","1.145kwh"
"7AM",2014-07-29,"вторник","1.922kwh"
"11AM",2014-03-25,"вторник","0.412kwh"
"1PM",2014-02-28,"пятница","0.394kwh"
"8PM",2014-07-16,"среда","4.147kwh"
"1AM",2014-09-17,"среда","0.133kwh"
"6AM",2014-03-16,"воскресенье","0.512kwh"
"2AM",2014-01-01,"среда","0.332kwh"
"9PM",2014-10-26,"воскресенье","0.306kwh"
"7AM",2014-02-17,"понедельник","1.112kwh"
"7AM",2014-07-23,"среда","1.879kwh"
"6PM",2014-12-14,"воскресенье","2.257kwh"
"3AM",2014-04-19,"суббота","0.099kwh"
"8AM",2014-07-24,"четверг","1.018kwh"
"7AM",2014-02-16,"воскресенье","1.469kwh"
"3AM",2014-02-21,"пятница","40.25kwh"
"8PM",2014-10-25,"суббота","0.972kwh"
"5PM",2014-05-24,"суббота","0.742kwh"
"5PM",2014-12-14,"воскресенье","41.03kwh"
"10PM",2014-07-17,"четверг","1.272kwh"
"11AM",2014-03-14,"пятница","40.46kwh"
"12PM",2014-11-12,"среда","0.223kwh"
"8AM",2014-03-13,"четверг","0.272kwh"
"4PM",2014-06-17,"вторник","40.72kwh"
"9AM",2014-07-15,"вторник","40.59kwh"
"9AM",2014-04-30,"среда","0.083kwh"
"12AM",2014-05-05,"понедельник","0.226kwh"
"9AM",2014-03-20,"четверг","0.262kwh"
"9PM",2014-07-24,"четверг","1.152kwh"
"3AM",2014-06-29,"воскресенье","0.562kwh"
"10PM",2014-08-08,"пятница","0.806kwh"
"2PM",2014-05-19,"понедельник","0.342kwh"
"12PM",2014-10-08,"среда","0.351kwh"
"6PM",2014-08-11,"понедельник","1.814kwh"
"6PM",2014-12-26,"пятница","1.355kwh"
"4PM",2014-12-18,"четверг","0.462kwh"
"1AM",2014-05-28,"среда","0.138kwh"
"5PM",2014-09-23,"вторник","40.91kwh"
"7AM",2014-06-04,"среда","1.636kwh"
"12PM",2014-03-27,"четверг","40.42kwh"
"11AM",2014-01-12,"воскресенье","1.128kwh"
"12PM",2014-10-21,"вторник","0.351kwh"
"3PM",2014-09-29,"понедельник","0.336kwh"
"12AM",2014-01-11,"суббота","1.712kwh"
"11PM",2014-03-29,"суббота","40.80kwh"
"2AM",2014-11-27,"четверг","0.079kwh"
"9PM",2014-11-24,"понедельник","0.281kwh"
"2AM",2014-11-12,"среда","0.107kwh"
"8AM",2014-01-17,"пятница","0.768kwh"
"4AM",2014-03-19,"среда","0.155kwh"
"10PM",2014-11-28,"пятница","0.331kwh"
"7AM",2014-05-15,"четверг","0.583kwh"
"8PM",2014-04-10,"четверг","0.466kwh"
"1AM",2014-05-12,"понедельник","0.192kwh"
"6AM",2014-07-22,"вторник","2.794kwh"
"2AM",2014-11-11,"вторник","0.098kwh"
"10PM",2014-04-01,"вторник","0.135kwh"
"11PM",2014-03-22,"суббота","0.672kwh"
"8PM",2014-06-13,"пятница","2.477kwh"
"1PM",2014-08-12,"вторник","0.398kwh"
"3AM",2014-11-18,"вторник","0.095kwh"
"1PM",2014-09-14,"воскресенье","0.416kwh"
"3PM",2014-06-22,"воскресенье","1.685kwh"
"8AM",2014-10-18,"суббота","0.827kwh"
"8PM",2014-07-12,"суббота","3.715kwh"
"2AM",2014-09-23,"вторник","0.118kwh"
"11PM",2014-05-22,"четверг","0.356kwh"
"7AM",2014-10-04,"суббота","0.641kwh"
"8PM",2014-04-29,"вторник","0.403kwh"
"11PM",2014-10-28,"вторник","0.348kwh"
"4PM",2014-10-29,"среда","0.252kwh"
"8AM",2014-05-07,"среда","0.378kwh"
"3AM",2014-05-08,"четверг","0.182kwh"
"3AM",2014-08-17,"воскресенье","0.382kwh"
"8AM",2014-03-22,"суббота","0.894kwh"
"11PM",2014-02-28,"пятница","41.38kwh"
"3PM",2014-06-16,"понедельник","0.835kwh"
"8AM",2014-12-27,"суббота","1.702kwh"
"2AM",2014-01-05,"воскресенье","0.654kwh"
"6PM",2014-12-19,"пятница","1.725kwh"
"11AM",2014-10-12,"воскресенье","40.31kwh"
"4AM",2014-01-17,"пятница","0.472kwh"
"3AM",2014-02-26,"среда","0.283kwh"
"6AM",2014-08-28,"четверг","1.656kwh"
"1AM",2014-12-15,"понедельник","0.253kwh"
"8PM",2014-03-01,"суббота","1.584kwh"
"12PM",2014-03-25,"вторник","0.348kwh"
"9PM",2014-06-13,"пятница","0.648kwh"
"3PM",2014-08-14,"четверг","0.562kwh"
"2PM",2014-07-06,"воскресенье","1.632kwh"
"4PM",2014-01-19,"воскресенье","1.728kwh"
"5PM",2014-03-18,"вторник","0.926kwh"
"11AM",2014-07-10,"четверг","1.428kwh"
"1AM",2014-06-08,"воскресенье","0.583kwh"
"4PM",2014-08-12,"вторник","0.528kwh"
"3PM",2014-12-02,"вторник","0.458kwh"
"3PM",2014-11-12,"среда","40.20kwh"
"10AM",2014-06-17,"вторник","0.641kwh"
"12AM",2014-11-21,"пятница","40.15kwh"
"2AM",2014-02-21,"пятница","0.221kwh"
"5AM",2014-02-27,"четверг","1.188kwh"
"4PM",2014-04-22,"вторник","0.113kwh"
"10AM",2014-10-25,"суббота","0.425kwh"
"3PM",2014-05-06,"вторник","0.278kwh"
"7PM",2014-09-20,"суббота","1.121kwh"
"10PM",2014-01-03,"пятница","1.302kwh"
"3PM",2014-06-10,"вторник","40.85kwh"
"9AM",2014-10-11,"суббота","0.583kwh"
"1AM",2014-07-18,"пятница","0.571kwh"
"10PM",2014-10-14,"вторник","0.312kwh"
"3PM",2014-04-16,"среда","40.13kwh"
"5AM",2014-11-26,"среда","0.574kwh"
"10AM",2014-04-06,"воскресенье","0.203kwh"
"7AM",2014-12-28,"воскресенье","1.096kwh"
"6AM",2014-06-17,"вторник","1.814kwh"
"9PM",2014-11-13,"четверг","0.216kwh"
"7AM",2014-06-14,"суббота","1.966kwh"
"12PM",2014-04-14,"понедельник","0.146kwh"
"2PM",2014-01-16,"четверг","0.776kwh"
"2PM",2014-12-07,"воскресенье","0.713kwh"
"9AM",2014-02-13,"четверг","0.349kwh"
"6PM",2014-02-15,"суббота","2.376kwh"
"7PM",2014-08-14,"четверг","2.441kwh"
"2PM",2014-04-13,"воскресенье","0.197kwh"
"7PM",2014-03-26,"среда","1.152kwh"
"1PM",2014-03-16,"воскресенье","0.499kwh"
"10AM",2014-12-20,"суббота","0.587kwh"
"2AM",2014-06-14,"суббота","0.432kwh"
"1PM",2014-02-10,"понедельник","0.413kwh"
"12PM",2014-04-29,"вторник","0.128kwh"
"12AM",2014-10-18,"суббота","0.514kwh"
"9AM",2014-12-23,"вторник","0.317kwh"
"2AM",2014-11-30,"воскресенье","0.122kwh"
"10AM",2014-11-19,"среда","0.158kwh"
"10PM",2014-06-29,"воскресенье","0.837kwh"
"3PM",2014-09-02,"вторник","0.274kwh"
"5AM",2014-11-07,"пятница","0.515kwh"
"7AM",2014-11-22,"суббота","0.535kwh"
"11PM",2014-04-23,"среда","0.147kwh"
"4PM",2014-01-18,"суббота","1.512kwh"
"2AM",2014-11-02,"воскресенье","0.155kwh"
"1AM",2014-02-25,"вторник","0.221kwh"
"9PM",2014-02-22,"суббота","0.528kwh"
"3PM",2014-12-12,"пятница","0.378kwh"
"5AM",2014-07-22,"вторник","2.534kwh"
"11PM",2014-11-11,"вторник","0.212kwh"
"3PM",2014-11-29,"суббота","40.47kwh"
"11AM",2014-06-22,"воскресенье","1.058kwh"
"7PM",2014-06-26,"четверг","3.272kwh"
"5AM",2014-08-13,"среда","1.505kwh"
"6AM",2014-12-16,"вторник","41.32kwh"
"5AM",2014-01-22,"среда","1.826kwh"
"1AM",2014-03-31,"понедельник","0.152kwh"
"1PM",2014-01-10,"пятница","40.84kwh"
"8PM",2014-05-19,"понедельник","41.51kwh"
"8AM",2014-12-18,"четверг","0.475kwh"
"2PM",2014-09-30,"вторник","0.286kwh"
